Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_sim,SM_sim,GW_sim,Q_sim
1998-01-01,0,2.0123847,1.8829691,0.035606631125268,1.9272033,1.6816607,0.02946331655714,1.9272033,1.6816607,0.336617185950641,0.320905839788248,1.82804419490556,86.1928216398595,161.739111525647,0.49148092678179
1998-01-02,0,2.0036073,1.8418951,0.000181994912707,1.9218854,1.6464283,0.000150594806513,1.9218854,1.6464283,0.335147241907189,0.23095752220798,1.76196773165994,84.4310045030061,161.251928300656,0.48990650717025
1998-01-03,0.507255872566851,1.7963233,1.638409,0.275418118110965,1.8514359,1.5702932,0.315417753323441,1.8514359,1.5702932,0.379245563210766,0.235184416831113,1.8514359,82.8949863563295,160.766212546906,0.488378385786732
1998-01-04,0,2.1798217,1.9792924,0,2.2627058,1.900828,0,2.2627058,1.900828,0.35278657042862,0.249386782764839,1.69440801151676,81.2005783448127,160.281959844147,0.486878052624889
1998-01-05,0,2.4314356,2.191201,0,2.4350574,2.0323334,0,2.4350574,2.0323334,0.504680788252054,0.218192300446119,1.65977360676336,79.5408047380494,159.799165785443,0.485395174485145
1998-01-06,0,2.5161805,2.249138,0,2.5101962,2.0798488,0,2.5101962,2.0798488,0.446862989209585,0.237720553604993,1.62584714365358,77.9149575943958,159.317825977132,0.483923980278956
1998-01-07,0,2.2211452,1.9628583,0,2.302793,1.8703789,0,2.302793,1.8703789,0.333677297863736,0.194014463201799,1.59261415156566,76.3223434428301,158.837936038787,0.482461244278258
1998-01-08,0,2.5018578,2.1911123,0,2.4572368,1.9898697,0,2.4572368,1.9898697,0.306728323733772,0.177529574171581,1.56006045566338,74.7622829871668,158.359491603175,0.481005160907938
1998-01-09,0,2.4328144,2.1064625,0,2.4838436,1.9784749,0,2.4838436,1.9784749,0.287129069821071,0.152168206432783,1.52817217085006,73.2341108163167,157.882488316219,0.479554716957714
1998-01-10,0,2.0486684,1.7491171,0,2.2231133,1.7859718,0,2.2231133,1.7859718,0.282719237690713,0.135260627940252,1.4969356958462,71.7371751204705,157.406921836955,0.478109341319679
1998-01-11,0,1.9757788,1.6734922,0,2.1896238,1.6994832,0,2.1896238,1.6994832,0.274879536125633,0.126806838693986,1.46633770738807,70.2708374130824,156.932787837498,0.476668709566
1998-01-12,0,2.2395904,1.8728046,0,2.3419995,1.7973087,0,2.3419995,1.7973087,0.266059871864917,0.133400794306073,1.43636515454504,68.8344722585374,156.460082002995,0.475232634916721
1998-01-13,0,2.7139516,2.2485228,0,2.7225184,2.0847638,0,2.7225184,2.0847638,0.266059871864917,0.141854583552339,1.4070052531529,67.4274670053845,155.988800031594,0.473801007407278
1998-01-14,0,2.6713831,2.1775417,0,2.7060075,2.038959,0,2.7060075,2.038959,0.264589927821465,0.139487522563385,1.37824548036109,66.0492215250234,155.518937634397,0.472373759948118
1998-01-15,0,2.6799796,2.1542146,0,2.706269,2.0128596,0,2.706269,2.0128596,0.254300319517297,0.147772236024725,1.35007356929132,64.6991479557321,155.050490535429,0.470950849388266
1998-01-16,0,2.6081307,2.0640745,0,2.6006505,1.9122658,0,2.6006505,1.9122658,0.2655698905171,0.138811219423683,1.32247750380539,63.3766704519267,154.583454471592,0.469532245950048
1998-01-17,0,2.604138,2.038259,0,2.6377544,1.9099605,0,2.6377544,1.9099605,0.339557074037547,0.142615424584503,1.29544551337998,62.0812249385467,154.11782519263,0.468117927334342
1998-01-18,0,2.3543184,1.808384,0,2.4268396,1.7240218,0,2.4268396,1.7240218,0.264589927821465,0.152168206432783,1.26896606808616,60.8122588704606,153.653598461089,0.466707875431669
1998-01-19,0,1.9369183,1.4672096,0,1.7506365,1.2559252,0,1.7506365,1.2559252,0.272919610734363,0.145574250820696,1.24302787367154,59.569230996789,153.19077005228,0.465302074487153
1998-01-20,0,1.8695618,1.4496045,0,1.8352934,1.30171,0,1.8352934,1.30171,0.26752981590837,0.134837938477939,1.21761986674294,58.3516111300461,152.729335754237,0.463900510076646
1998-01-21,0,2.0858073,1.5724214,0,2.171256,1.5019835,0,2.171256,1.5019835,0.256260244908567,0.133147180628686,1.19273121004755,57.1588799199985,152.269291367684,0.462503168535425
1998-01-22,0,2.41213,1.7806406,0,2.4802375,1.6821278,0,2.4802375,1.6821278,0.260670077038925,0.127229528156299,1.16835128785053,55.990528632148,151.810632705992,0.461110036639392
1998-01-23,0.023491657313649,1.8322868,1.34407,0.029555079846879,1.710719,1.1735882,0.028508940104858,1.710719,1.1735882,0.278309405560356,0.143038114046816,1.17297864151191,54.846058930741,151.353355595144,0.459721101427157
1998-01-24,0.007921611854012,1.9324735,1.3819286,0.023734075751661,2.0540478,1.3543996,0.021005905837146,2.0540478,1.3543996,0.290068957907976,0.12469339138242,1.14208217036411,53.724982666214,150.897455873695,0.458336350100722
1998-01-25,0.051895657867816,2.1681383,1.5344313,0.161027263791893,2.1503563,1.4182338,0.142198473671884,2.1503563,1.4182338,0.235191046952413,0.126806838693986,1.24035947290198,52.6268216669839,150.442929392734,0.456955769970013
1998-01-26,0,2.6071491,1.8117052,0,2.5066535,1.6313713,0,2.5066535,1.6313713,0.215591793039712,0.126806838693986,1.07571413149032,51.5511075354936,149.98977201585,0.45557934842189
1998-01-27,0,2.0927165,1.4289141,0,1.8819959,1.2267922,0,1.8819959,1.2267922,0.187662856214113,0.09256899224661,1.05372608706669,50.4973814484269,149.537979619088,0.454207072902804
1998-01-28,0,2.4340787,1.6455398,0,2.1995854,1.4362227,0,2.1995854,1.4362227,0.141604609519265,0.092991681708923,1.03218748741973,49.4651939610072,149.087548090918,0.452838930909065
1998-01-29,0,2.5849488,1.7131637,0,2.5008645,1.5654973,0,2.5008645,1.5654973,0.185212949475025,0.08301621039833,1.01108914571118,48.454104815296,148.638473332192,0.451474909981372
1998-01-30,0,2.7101147,1.8183106,0,2.6614146,1.655404,0,2.6614146,1.655404,0.186192912170661,0.067630313970126,0.990422062885607,47.4636827524104,148.190751256112,0.450114997701702
1998-01-31,0,2.7555075,1.7596159,0,2.6929398,1.6214825,0,2.6929398,1.6214825,0.187172874866295,0.087412180806388,0.970177423832015,46.4935053285784,147.744377788187,0.44875918169153
1998-02-01,0,2.4611454,1.5818425,0,2.4668124,1.4859174,0,2.4668124,1.4859174,0.186192912170661,0.086651339774224,0.950346593623933,45.5431587349544,147.299348866202,0.447407449610786
1998-02-02,0.543478009725675,2.4609096,1.5145239,0.446029646861873,2.4742875,1.4331129,0.462842693482491,2.4742875,1.4331129,0.175903303866492,0.086735877666687,1.39376380731887,44.612237621118,146.855660440176,0.44605978915722
1998-02-03,0,2.448304,1.4773904,0,2.383507,1.4523145,0,2.383507,1.4523145,0.169533546344865,0.086397726096836,0.911892698938116,43.7003449221799,146.413308472328,0.444716188066002
1998-02-04,1.52797235476431,2.6541443,1.5728925,1.13773768943007,2.618031,1.5021665,1.20506599974987,2.618031,1.5021665,0.181783080040303,0.079296543129973,1.61060808922761,43.2422392146046,146.008319702632,0.447029621378275
