Date,Pptn_total,PET_total,Q_ds
1998-04-24,0.172452331900938,4.0381846,0.010567236557832
1998-04-25,8.12160016972794,3.398418,0.013526062794025
1998-04-26,1.24994382622746,3.9917371,0.014794131180965
1998-04-27,0.032153382309208,3.7834218,0.063403419346993
1998-04-28,0.069279374242578,3.8256817,0.041761718876553
1998-04-29,0.012677874498006,3.9924018,0.025614981416185
1998-04-30,0.001823667635676,4.055552,0.021219011008127
1998-05-01,0.007325684703579,4.034394,0.018175646879471
1998-05-02,5.30770874498264,3.9481049,0.020965397330739
1998-05-03,0,4.239953,0.069743761281692
1998-05-04,0,4.280582,0.03626675586648
1998-05-05,0,3.9717426,0.03914104421021
1998-05-06,0.003891674077112,4.157165,0.022064389932754
1998-05-07,0,3.8091474,0.023247920427231
1998-05-08,0,4.2065787,0.012596145976936
1998-05-09,0,4.135916,0.011919842837235
1998-05-10,0,3.8726711,0.012680683869399
1998-05-11,0.273708375692605,3.3976974,0.011835304944772
1998-05-12,0.787977256816066,4.043432,0.008876478708579
1998-05-13,0.465421741490669,3.930222,0.009045554493504
1998-05-14,2.63098825805695,4.2099667,0.00921463027843
1998-05-15,0,4.159494,0.012257994407085
1998-05-16,0,4.215448,0.011074463912608
1998-05-17,0,4.1862683,0.012004380729697
1998-05-18,0.011849336914954,4.127354,0.01208891862216
1998-05-19,0.009768107534096,4.0692854,0.015047744858353
1998-05-20,0.007982737464028,3.9481995,0.015724047998054
1998-05-21,1.51055251918336,4.323569,0.012004380729697
1998-05-22,0,4.475185,0.012511608084473
1998-05-23,0.765484113439382,4.404041,0.01082085023522
1998-05-24,2.89951718897377,4.1840105,0.012004380729697
1998-05-25,0,4.1147604,0.012342532299548
1998-05-26,0.008835902946742,4.2280674,0.011581691267384
1998-05-27,0,4.3341827,0.011328077589996
1998-05-28,0,4.244457,0.011243539697533
1998-05-29,0,4.322671,0.010567236557832
1998-05-30,0,4.151223,0.009890933418131
1998-05-31,0,3.9673345,0.009299168170892
1998-06-01,0,3.9327257,0.003973280945745
1998-06-02,0,3.8665063,0.003212439913581
1998-06-03,0.442238200008672,3.8792193,0.003212439913581
1998-06-04,0,4.017221,0.003212439913581
1998-06-05,0.204950103547897,4.067915,0.003127902021118
1998-06-06,2.55263418523028,4.2626386,0.010651774450295
1998-06-07,0,4.354607,0.006340341934699
1998-06-08,1.88720122868969,4.224904,0.006255804042237
1998-06-09,0,4.144681,0.006255804042237
1998-06-10,0,4.273497,0.003466053590969
1998-06-11,0,3.7770755,0.003381515698506
1998-06-12,0.517201945954238,3.4002635,0.003381515698506
1998-06-13,9.41607822582927,2.979136,0.003719667268357
1998-06-14,38.6625748120091,0.86110324,0.012680683869399
1998-06-15,27.2348815264866,2.1191456,0.074816034829452
1998-06-16,0.731547658044765,4.2917204,0.249471320657302
1998-06-17,4.46461682244737,4.060431,0.165609731334346
1998-06-18,4.48832313068613,3.3781626,0.106602282395411
1998-06-19,11.6411177485997,3.2459054,0.080395535731987
1998-06-20,7.9253851027832,3.2853532,0.061966275175128
1998-06-21,6.55201449516831,2.2963765,0.050722735477594
1998-06-22,3.68450142484852,3.3494785,0.041339029414239
1998-06-23,0.306451286841935,2.7577035,0.038211127393121
1998-06-24,3.42252903957766,3.3337886,0.056640387949981
1998-06-25,0.287411768838383,3.4171169,0.038464741070509
1998-06-26,0.087788984040848,3.2216403,0.028996497114692
1998-06-27,0.325664313271694,3.207969,0.021134473115664
1998-06-28,0.062970241898509,3.1197088,0.023247920427231
1998-06-29,6.63034974558218,2.5319896,0.028404731867453
1998-06-30,7.96657326103608,1.8268197,0.026122208770961
1998-07-01,13.8301437744254,1.0692952,0.024515988814171
1998-07-02,7.74233311712407,0.51065564,0.047679371348939
1998-07-03,2.75204042983929,1.4641829,0.051060887047445
