Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_us_sim,SM_us_sim,GW_us_sim,Q_us_sim,ET_us_ds_sim,SM_us_ds_sim,GW_us_ds_sim,Q_ds_sim
2004-12-01,0,2.5262127,2.066701,0,2.4967418,1.8912426,0,2.4967418,1.8912426,0.188152837561931,0.095950507945116,2.5262127,124.458251170213,90.4157435064611,0.654826777414443,2.4967418,102.066263543462,73.5597102895227,0.556080669933851
2004-12-02,0,2.5293489,2.0439954,0,2.5028284,1.8728006,0,2.5028284,1.8728006,0.194522595083558,0.07540780007669,2.5293489,121.928902270213,89.7681451852258,0.650136612789262,2.5028284,99.5634351434621,73.0328424781592,0.552097769450635
2004-12-03,0,2.5011907,1.9957207,0,2.4760888,1.8298541,0,2.4760888,1.8298541,0.188152837561931,0.095950507945116,2.5011907,119.427711570213,89.1251852551534,0.645480041237806,2.4760888,97.0873463434621,72.5097483316125,0.548143396297913
2004-12-04,0,2.4529624,1.9325503,0,2.4326203,1.774752,0,2.4326203,1.774752,0.166103676910142,0.090793696504894,2.4529624,116.974749170213,88.486830493995,0.640856822151335,2.4326203,94.6547260434621,71.9904008211937,0.544217346149048
2004-12-05,0,2.4211855,1.8838351,0,2.400234,1.7304515,0,2.400234,1.7304515,0.166103676910142,0.090793696504894,2.4211855,114.553563670213,87.8530479174546,0.636266716644458,2.400234,92.2544920434621,71.4747731118056,0.540319416141624
2004-12-06,0,2.4514527,1.8833376,0,2.427235,1.7269825,0,2.427235,1.7269825,0.152384199171251,0.067883927647514,2.4514527,112.102110970213,87.2238047774844,0.631709487542788,2.427235,89.8272570434621,70.962838560556,0.536449404866427
2004-12-07,0,2.4818232,1.8795036,0,2.453339,1.7223307,0,2.453339,1.7223307,0.166103676910142,0.085805960849597,2.4818232,109.620287770213,86.599068560593,0.627184899370686,2.453339,87.3739180434621,70.4545707153812,0.532607112356886
2004-12-08,0,2.5089152,1.8734672,0,2.4635465,1.7067248,0,2.4635465,1.7067248,0.144054516258353,0.080987300979226,2.5089152,107.111372570213,85.9788069861652,0.622692718339099,2.45786494903395,84.9160530944281,69.9499433136791,0.528792340078696
2004-12-09,0,2.4973218,1.8364563,0,2.4509685,1.6747197,0,2.4509685,1.6747197,0.144054516258353,0.076422254786242,2.4973218,104.614050770213,85.3629880047942,0.618232712333474,2.38872417747459,82.5273289169536,69.448930280952,0.52500489091955
2004-12-10,0,2.456634,1.7802068,0,2.4170995,1.6233652,0,2.4170995,1.6233652,0.144054516258353,0.076422254786242,2.456634,102.157416770213,84.7515797966254,0.61380465090177,2.3215283648088,80.2058005521448,68.9515057294599,0.521244569178951
2004-12-11,0,2.0388453,1.4562631,0,2.1547492,1.4114106,0,2.1547492,1.4114106,0.13670479604109,0.080987300979226,2.0388453,100.118571470213,84.1445507697125,0.609408305242543,2.1547492,78.0510513521448,68.4576439568821,0.517511180558094
2004-12-12,0,2.0933158,1.4715222,0,2.1519716,1.3975947,0,2.1519716,1.3975947,0.13670479604109,0.085805960849597,2.0933158,98.0252556702127,83.5418695583849,0.605043448193132,2.1519716,75.8990797521448,67.9673194449896,0.513804532149834
2004-12-13,0,2.3365047,1.6192687,0,2.3394608,1.5027521,0,2.3394608,1.5027521,0.121515374258747,0.067714851862589,2.3365047,95.6887509702127,82.943505021627,0.600709854217916,2.135072936685,73.7640068154598,67.4805068583266,0.51012443242871
2004-12-14,0,2.3605134,1.6120245,0,2.3731313,1.5008482,0,2.3731313,1.5008482,0.144054516258353,0.054780554315802,2.3605134,93.3282375702127,82.3494262414692,0.596407299396661,2.07501243977448,71.6889943756853,66.9971810429012,0.506470691241056
2004-12-15,0,2.4493332,1.6433283,0,2.427795,1.5132784,0,2.427795,1.5132784,0.144054516258353,0.057485766874607,2.4493332,90.8789043702127,81.7596025213905,0.592135561412953,2.01664146982446,69.6723529058608,66.5173170248856,0.50284311979517
2004-12-16,0,2.4796994,1.633611,0,2.4329727,1.4962645,0,2.4329727,1.4962645,0.13670479604109,0.057992994229383,2.4796994,88.3992049702127,81.174003384732,0.587894419542707,1.95991249973313,67.7124404061277,66.0408900093259,0.499241530651563
2004-12-17,0,2.3846135,1.5419031,0,2.37645,1.434429,0,2.37645,1.434429,0.13670479604109,0.060190979433412,2.3846135,86.0145914702127,80.5925985731226,0.583683654642762,1.90477933935601,65.8076610667717,65.567875378861,0.49566573771327
2004-12-18,0,2.3458877,1.4916517,0,2.3214266,1.3769804,0,2.3214266,1.3769804,0.13670479604109,0.066446783475649,2.3458877,83.6687037702127,80.0153580449151,0.579503049139561,1.85119709789674,63.956463968875,65.0982486924501,0.492115556216239
2004-12-19,0,2.3996153,1.4983186,0,2.3514056,1.3749636,0,2.3514056,1.3749636,0.121515374258747,0.067630313970126,2.353635717991,81.3150680522217,79.4422519736342,0.575352387017906,1.79912214735589,62.1573418215191,64.6319856841105,0.488590802719779
2004-12-20,0,2.4376323,1.4943837,0,2.417787,1.3860018,0,2.417787,1.3860018,0.062227631172826,0.063995184594232,2.2874269584025,79.0276410938192,78.8732507464353,0.571231453809798,1.74851208700793,60.4088297345111,64.1690622616631,0.485091295097086
2004-12-21,0,2.4780903,1.4899555,0,2.4614275,1.3838542,0,2.4614275,1.3838542,0.062717612520644,0.050807273370057,2.2230806789815,76.8045604148377,78.3083249625744,0.567140036583355,1.69932570887755,58.7095040256336,63.7094545054881,0.481616852525829
2004-12-22,0,2.4392226,1.438328,0,2.4394321,1.3411875,0,2.4394321,1.3411875,0.053407966912111,0.0534279480364,2.16054448737996,74.6440159274577,77.7474454318886,0.563077923931807,1.65152296418702,57.0579810614466,63.2531386672888,0.478167295478808
2004-12-23,0,2.4902964,1.438958,0,2.4770243,1.3406837,0,2.4770243,1.3406837,0.055367892303381,0.051652652294684,2.09976746506858,72.5442484623891,77.1905831732884,0.559044905962577,1.60506493074756,55.452916130699,62.8000911688642,0.474742445714678
2004-12-24,0,2.51837,1.4249281,0,2.475436,1.3162211,0,2.475436,1.3162211,0.025479030086511,0.033307929630287,2.04070012587765,70.5035483365115,76.6377094132599,0.555040774286431,1.55991378126785,53.8930023494312,62.3502886008914,0.47134212626874
2004-12-25,0,2.478005,1.3728074,0,2.4493396,1.2742804,0,2.4493396,1.2742804,0.018129309869249,0.028151118190065,1.98329437570414,68.5202539608074,76.0887955843779,0.551065322006715,1.51603275255416,52.376969596877,61.9037077217153,0.467966161443795
2004-12-26,0,1.991502,1.083378,0,2.137957,1.0716512,0,2.137957,1.0716512,0.010779589651986,0.025784057201111,1.92750347335231,66.592750487455,75.5438133238301,0.54711834370866,1.47338611557679,50.9035834813002,61.4603254561483,0.464614376801066
2004-12-27,0,2.0178292,1.0775237,0,2.1034262,1.0442575,0,2.1034262,1.0442575,0.012739515043256,0.015724047998054,1.87328199247586,64.7194684949792,75.0027344719515,0.543199635448771,1.43193914637863,49.4716443349216,61.0201188942775,0.461286599151185
2004-12-28,0,2.0424805,1.0707211,0,2.038427,1.0033514,0,2.038427,1.0033514,0.010779589651986,0.015047744858353,1.82058578459066,62.8988827103885,74.4655310707693,0.539308994744289,1.39165809780206,48.0799862371195,60.5830652902811,0.457982656545246
2004-12-29,0,2.4408567,1.2573272,0,2.415365,1.1691914,0,2.415365,1.1691914,0.018129309869249,0.014371441718652,1.76937194312794,61.1295107672606,73.9321753625582,0.535446220562727,1.35251017201115,46.7274760651084,60.1491420612533,0.454702378265918
2004-12-30,0,2.4151251,1.2159531,0,2.3912392,1.1374886,0,2.3912392,1.1374886,0.048018172086118,0.014878669073428,1.7195987684987,59.4099119987619,73.4026397884063,0.531611113311483,1.31446349378682,45.4130125713215,59.7183267860371,0.451445594818623
2004-12-31,0,2.3921604,1.179654,0,2.400877,1.1160151,0,2.400877,1.1160151,0.062717612520644,0.017583881632233,1.67122573414086,57.738686264621,72.876896986791,0.527803474827529,1.27748708457331,44.1355254867482,59.2905972040661,0.448212137922781
2005-01-01,0,2.3311427,1.1309572,0,2.361401,1.0792887,0,2.361401,1.0792887,0.057817799042468,0.015808585890517,1.62421345352155,56.1144728110995,72.3549197921655,0.524023108367168,1.24155083725458,42.8939746494937,58.8659312142139,0.445001840503114
2005-01-02,0,2.510546,1.1916617,0,2.4745383,1.1166903,0,2.4745383,1.1166903,0.055367892303381,0.017583881632233,1.57852364806754,54.5359491630319,71.8366812335546,0.52026981859587,1.20662549164041,41.6873491578532,58.4443068736526,0.441814536681011
2005-01-03,0,2.3975277,1.1554115,0,2.2318723,1.0168658,0,2.2318723,1.0168658,0.023029123347424,0.026544898233274,1.53411911599795,53.001830047034,71.3221545331616,0.516543411578181,1.172682610642,40.5146665472112,58.0257023967184,0.438650061765959
2005-01-04,0,2.335262,1.0677155,0,2.39308,1.0275003,0,2.39308,1.0275003,0.049978097477388,0.027643890835289,1.49096370203359,51.5108663450004,70.8113131049842,0.512843694767698,1.13969455711778,39.3749719900935,57.6100961537865,0.435508252247033
2005-01-05,0,2.5480933,1.1356761,0,2.544138,1.076113,0,2.544138,1.076113,0.048018172086118,0.026291284555886,1.4490222679584,50.061844077042,70.3041305534414,0.509170476997123,1.10763447137056,38.2673375187229,57.1974666701532,0.432388945784446
2005-01-06,0,2.6126223,1.1365054,0,2.5834868,1.0701345,0,2.5834868,1.0701345,0.062717612520644,0.025614981416185,1.40826066400912,48.6535834130329,69.8005806720088,0.505523568468385,1.07647624927767,37.1908612694452,56.7877926249261,0.429291981201163
2005-01-07,0,2.5988288,1.1024898,0,2.5881317,1.0454364,0,2.5881317,1.0454364,0.055367892303381,0.024600526706633,1.36864570106961,47.2849377119633,69.3006374418654,0.501902780742831,1.0461945210364,36.1446667484088,56.381052849923,0.426217198474571
2005-01-08,0,2.3951685,0.9895127,0,2.383334,0.9365896,0,2.383334,0.9365896,0.055367892303381,0.025784057201111,1.33014512364751,45.9547925883157,68.8042750305484,0.498307926731493,1.0167646305072,35.1279021179016,55.9772263285774,0.423164438728211
2005-01-09,0,2.6112022,1.0566082,0,2.5826707,0.9972204,0,2.5826707,0.9972204,0.062717612520644,0.023501534104619,1.29272758361096,44.6620650047048,68.3114677906189,0.494738820685415,0.988162615138059,34.1397395027636,55.5762921948532,0.420133544223569
2005-01-10,0,2.6649709,1.05092,0,2.6540246,0.9989716,0,2.6540246,0.9989716,0.088196642607155,0.024431450921708,1.2563626146642,43.4057023900406,67.8221902583364,0.491195278186061,0.960365186453616,33.17937431631,55.1782297321661,0.417124358351926
2005-01-11,0,2.516143,0.9638603,0,2.5274875,0.9264451,0,2.5274875,0.9264451,0.077417052955169,0.020796321545814,1.22102060754116,42.1846817824994,67.3364171523434,0.487677116135784,0.933349711093078,32.2460246052169,54.7830183723133,0.414136725626263
2005-01-12,0,2.624543,0.9816613,0,2.5952666,0.9333492,0,2.5952666,0.9333492,0.099466213606958,0.017752957417158,1.18667278589683,40.9980089966026,66.8541233723588,0.484184152748365,0.907094192381584,31.3389304128353,54.390637694411,0.411170491673231
2005-01-13,0,2.6283507,0.95996046,0,2.5765252,0.9046461,0,2.5765252,0.9046461,0.121515374258747,0.019021025804098,1.15329118287684,39.8447178137258,66.3752839978808,0.480716207539617,0.881577252419959,30.4573531604153,54.0010674238386,0.408225503225174
2005-01-14,0,2.3855646,0.84847957,0,2.458662,0.83708304,0,2.458662,0.83708304,0.121515374258747,0.021388086793052,1.12084861834616,38.7238691953796,65.8998742868998,0.477273101318066,0.856778114678295,29.600575045737,53.6142874311917,0.405301608112204
2005-01-15,0,2.5495715,0.88662636,0,2.5466988,0.84824437,0,2.5466988,0.84824437,0.106815933824221,0.026883049803125,1.08931867675838,37.6345505186212,65.4278696746193,0.473854656175686,0.832676587079182,28.7678984586579,53.2302777312418,0.402398655254346
2005-01-16,0,2.5416985,0.8622179,0,2.573843,0.833608,0,2.573843,0.833608,0.129355075823827,0.028151118190065,1.05867568564745,36.5758748329738,64.9592457721874,0.470460695478709,0.809253045556812,27.958645413101,52.8490184819034,0.399516494653727
2005-01-17,0,2.7463377,0.90810394,0,2.730852,0.86725014,0,2.730852,0.86725014,0.143074553562718,0.032547088598123,1.02889469472459,35.5469801382492,64.4939783654357,0.467091043858498,0.786488418078579,27.1721569950225,52.4704899832093,0.396654977386824
2005-01-18,0,2.1930666,0.69973445,0,2.0786288,0.6465153,0,2.0786288,0.6465153,0.114165654041484,0.034745073802152,0.999951455563075,34.5470286826861,64.0320434136288,0.463745527202483,0.764364169116149,26.4077928259063,52.0946726762921,0.393813955596775
2005-01-19,0,2.3618855,0.74698454,0,2.4482567,0.7326642,0,2.4482567,0.7326642,0.114165654041484,0.027305739265438,0.971822401854605,33.5752062808315,63.5734170482219,0.46042397264517,0.742862284553373,25.6649305413529,51.7215471423738,0.390993282485734
2005-01-20,0,2.5644908,0.7892722,0,2.5823724,0.7618254,0,2.5823724,0.7618254,0.13670479604109,0.034153308554914,0.944484630221012,32.6307216506105,63.1180755716274,0.457126208559205,0.721965257018739,24.9429652843342,51.3510941017626,0.388192812307286
2005-01-21,0,2.57946,0.77633214,0,2.5712914,0.73846465,0,2.5712914,0.73846465,0.13670479604109,0.028151118190065,0.917915881565758,31.7128057690447,62.6659954559906,0.453852064546504,0.701656071630441,24.2413092127038,50.9832944128564,0.385412400358919
2005-01-22,0,2.3967357,0.70187765,0,2.4008062,0.6718716,0,2.4008062,0.6718716,0.13670479604109,0.045143234575059,0.892094522950023,30.8207112460947,62.2171533419739,0.450601371429453,0.681918192142429,23.5593910205613,50.618129071154,0.382651902974547
2005-01-23,0,1.8318911,1.1120744,0.000201488797959,1.641349,0.8443171,0.000166725355625,1.641349,0.8443171,0.099466213606958,0.033307929630287,0.866999529978627,29.9537117161161,61.7715260375496,0.447373961242164,0.662937036278147,22.8966554730811,50.255579208273,0.379911177517082
