Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,live_St_us,Res_outflow,Q_ds,ET_us_sim,SM_us_sim,GW_us_sim,Ot_sim,St_us_sim,ET_us_ds_sim,SM_us_ds_sim,GW_us_ds_sim,Q_ds_sim
2003-01-01,0,1.1273688,0.9848199,0,1.1368023,0.99692816,0,1.1342295,0.9936259,23.308,0,4.1035,1.1273688,177.71519585517,0.000933567318421,0.377224280862201,23.2610110922163,1.1368023,172.006672386497,0.001499998508624,0.428818458939857
2003-01-02,0,0.99842596,0.86078674,0,1.0168025,0.88951063,0,1.0117908,0.88167673,23.272,0,3.7356,0.99842596,176.716769895171,0.000700448413915,0.37592875474259,23.2289513251913,1.0168025,170.989869886497,0.00112543740072,0.414963238506037
2003-01-03,0,1.047829,0.8748951,0,1.0524607,0.91052496,0,1.0511975,0.90080774,23.256,0,3.5941,1.047829,175.66894089517,0.000525541084049,0.374634772636118,23.1968983617992,1.0524607,169.937409186497,0.000844407068178,0.404244005826086
2003-01-04,0,1.1340252,0.9412977,0,1.1390871,0.9732105,0,1.1377066,0.96450704,23.256,0,3.5941,1.1340252,174.534915695171,0.000394309453112,0.373343740374023,23.1648781655834,1.1390871,168.798322086497,0.00063355216055,0.395879488812117
2003-01-05,0,1.1080122,0.9147088,0,1.1281852,0.961302,0,1.1226834,0.9485947,23.238,0.001,3.5658,1.1080122,173.426903495171,0.000295847364806,0.372056696923294,23.1329100633829,1.1281852,167.670136886497,0.000475349337143,0.389283488323561
2003-01-06,0,0.8856158,0.7272535,0,0.8189156,0.6906685,0,0.8371065,0.7006462,23.238,0,3.5658,0.8856158,172.541287695171,0.000221972013534,0.370774406681534,23.1010084038755,0.8189156,166.851221286497,0.000356650969552,0.384016167814311
2003-01-07,0,1.0008206,0.8291138,0,0.9485182,0.80720496,0,0.96278244,0.81318,23.222,0,3.5658,1.0008206,171.540467095171,0.000166543902883,0.369497428591734,23.0691838019226,0.9485182,165.902703086497,0.000267592492812,0.379747506158758
2003-01-08,0,1.2657976,1.0421788,0,1.2720556,1.0764955,0,1.2703488,1.0671363,23.222,0,3.5941,1.2657976,170.274669495171,0.000124956615682,0.368226167894786,23.0374440721521,1.2720556,164.630647486497,0.000200772599327,0.376229876453508
2003-01-09,0,1.3941418,1.1405163,0,1.401605,1.1779065,0,1.3995695,1.1677092,23.206,0,3.6507,1.3941418,168.88052769517,9.37539923856406E-05,0.366960914878991,23.0057949293875,1.401605,163.229042486497,0.000150638144653,0.373277471998406
2003-01-10,0.268438726663589,0.9462111,0.7721448,1.37313568592072,0.99090934,0.83281845,1.18420159816742,0.9787188,0.8162712,23.189,0,3.6224,0.9462111,168.202755321834,7.03429029368832E-05,0.365701873892209,22.9742405141473,0.99090934,163.607599631989,0.00126648699648,0.370750869687572
